Choice,Parallel,Loop,Noise Level,Add,Delete,Replace,Swap
0.2,0.1,0.0,40%,0.6813414856731892,0.836854504364729,0.6735598690092564,0.6800916857719421
0.2,0.1,0.1,5%,0.9531046878039836,0.9709675186038016,0.9541930195212364,0.9539041629850864
0.2,0.1,0.1,10%,0.9086783980190754,0.945804768139124,0.9106684140503408,0.9089974225461483
0.2,0.1,0.1,20%,0.8211493569493293,0.8984773832798004,0.8210770724952221,0.823130521273613
0.2,0.1,0.1,40%,0.6682146360814571,0.8138403354823589,0.661528324264288,0.6646591416895389
0.2,0.2,0.0,5%,0.9581643403053284,0.9762262862682344,0.9586888166666032,0.954643942964077
0.2,0.2,0.0,10%,0.9179018795728684,0.9572959768533706,0.9193419447779656,0.9106727785348891
0.2,0.2,0.0,20%,0.8389257289290428,0.908012659907341,0.8405233698010445,0.8290118334054947
0.2,0.2,0.0,40%,0.6895019409120082,0.8339092471420765,0.687259017431736,0.6658901587605477
0.2,0.2,0.1,5%,0.953064754062891,0.979595567832622,0.9557193163335324,0.9665105754315854
0.2,0.2,0.1,10%,0.9088595600903034,0.959400314505072,0.9116262644529344,0.9337045514404774
0.2,0.2,0.1,20%,0.8286676205694675,0.9235715550132836,0.8217866298735141,0.8701516263902187
0.2,0.2,0.1,40%,0.6906960227608681,0.8375466266871292,0.6526053956270218,0.7488080181956291
