Choice,Parallel,Loop,Noise Level,Add,Delete,Replace,Swap
0.1,0.0,0.0,20%,0.9919262029446312,0.9960789108785736,0.9922720906505558,0.9908527852778344
0.1,0.0,0.0,40%,0.9883692300591482,0.9926126643446108,0.987792957630336,0.9841751772294686
0.1,0.0,0.1,5%,0.9978873568916948,0.9992505805852658,0.9974690894409424,0.996344749775238
0.1,0.0,0.1,10%,0.995998056118419,0.9984611827921122,0.9957566778730416,0.994976845667039
0.1,0.0,0.1,20%,0.9935166080139234,0.9973097101987526,0.9930497590177224,0.9918034146736644
0.1,0.0,0.1,40%,0.989982844842715,0.9947002426871688,0.9892034601351748,0.9858165912170136
0.1,0.1,0.0,5%,0.9977683778299768,0.9991245935578432,0.997729864858836,0.9959464126002576
0.1,0.1,0.0,10%,0.9953062346295972,0.998618052471296,0.9958584795017328,0.9941514288085912
0.1,0.1,0.0,20%,0.9928562975677576,0.9973535172367736,0.992741995987509,0.9900217417322166
0.1,0.1,0.0,40%,0.9883990888075348,0.9945001978252748,0.987421148682359,0.9831298770048922
0.1,0.1,0.1,5%,0.998257705930626,0.999276774168014,0.9979716867969302,0.9968476515966416
0.1,0.1,0.1,10%,0.996906634236496,0.9984461747678832,0.9962554680286068,0.994299863095752
0.1,0.1,0.1,20%,0.9941264489861634,0.997259185933466,0.9933369642857286,0.9922008902049612
0.1,0.1,0.1,40%,0.9907165711802912,0.9932752190476988,0.9894758011645324,0.9874166887641892
0.1,0.2,0.0,5%,0.998367887114022,0.9991300810616328,0.9980428993978544,0.9964776556662686
0.1,0.2,0.0,10%,0.9963001337817972,0.9983160432702016,0.9962976748984556,0.9938851195310832
0.1,0.2,0.0,20%,0.9933480955676014,0.9971355243858472,0.9930676121241384,0.9900816919144156
0.1,0.2,0.0,40%,0.9881165072602196,0.9929200516345223,0.9880886766961818,0.980437215609652
0.1,0.2,0.1,5%,0.9960325881984744,0.9977602258534488,0.9954884113029896,0.9945974949592228
0.1,0.2,0.1,10%,0.9923442840378088,0.9954142173084328,0.9915125668354036,0.9891075848196912
0.1,0.2,0.1,20%,0.9861522606851616,0.9911655065468272,0.9830150407013352,0.9812792603048324
